pilotID,eeg_folder,montage,vhdr
Pilot001,Pilot001/EEG,CAP,cap_rest_eyeclosedrest.vhdr
Pilot001,Pilot001/EEG,CAP,cap_rest_eyeopensit.vhdr
Pilot001,Pilot001/EEG,CAP,cap_rest_stand.vhdr
Pilot001,Pilot001/EEG,NOVEL,novel_rest_eyeclossed_sit.vhdr
Pilot001,Pilot001/EEG,NOVEL,novel_rest_eyeopen_sit.vhdr
Pilot001,Pilot001/EEG,NOVEL,novel_rest_stand.vhdr
Pilot002,Pilot002/EEG,CAP,14_Cap_Rest_eyeclosed_sit.vhdr
Pilot002,Pilot002/EEG,CAP,14_Cap_Rest_eyeopen_sit.vhdr
Pilot002,Pilot002/EEG,CAP,14_Cap_Rest_stand.vhdr
Pilot002,Pilot002/EEG,NOVEL,14_Novel_Rest_eyeclosed1_sit.vhdr
Pilot002,Pilot002/EEG,NOVEL,14_Novel_Rest_eyeopen_sit.vhdr
Pilot002,Pilot002/EEG,NOVEL,14_Novel_Rest_stand.vhdr
Pilot003,Pilot003/EEG,CAP,Pilot_13_Cap_Rest_eyeclosed_sit.vhdr
Pilot003,Pilot003/EEG,CAP,Pilot_13_Cap_Rest_eyeopen_sit.vhdr
Pilot003,Pilot003/EEG,CAP,Pilot_13_Cap_Rest_stand.vhdr
Pilot003,Pilot003/EEG,NOVEL,Pilot_13_Novel_Rest_eyeclosed_sit.vhdr
Pilot003,Pilot003/EEG,NOVEL,Pilot_13_Novel_Rest_eyeopen_sit.vhdr
Pilot003,Pilot003/EEG,NOVEL,Pilot_13_Novel_Rest_stand.vhdr
Pilot004,Pilot004 (where comfort level starts)/EEG,CAP,pilot_04_cap_rest_eye_closed.vhdr
Pilot004,Pilot004 (where comfort level starts)/EEG,CAP,pilot_04_cap_rest_eye_open.vhdr
Pilot004,Pilot004 (where comfort level starts)/EEG,CAP,pilot_04_cap_rest_stand.vhdr
Pilot004,Pilot004 (where comfort level starts)/EEG,NOVEL,pilot_04_novel_rest_eye_closed.vhdr
Pilot004,Pilot004 (where comfort level starts)/EEG,NOVEL,pilot_04_novel_rest_eye_open.vhdr
Pilot004,Pilot004 (where comfort level starts)/EEG,NOVEL,pilot_04_novel_rest_stand.vhdr
Pilot005,Pilot005/EEG,CAP,Pilot_05_Cap_Rest_eyeclosed.vhdr
Pilot005,Pilot005/EEG,CAP,Pilot_05_Cap_Rest_eyeopen.vhdr
Pilot005,Pilot005/EEG,CAP,Pilot_05_Cap_Rest_stand.vhdr
Pilot005,Pilot005/EEG,NOVEL,Pilot_05_Novel_Rest_eyeclosed.vhdr
Pilot005,Pilot005/EEG,NOVEL,Pilot_05_Novel_Rest_eyeopen.vhdr
Pilot005,Pilot005/EEG,NOVEL,Pilot_05_Novel_Rest_stand.vhdr
Pilot006,Pilot006/EEG,CAP,Pilot_06_Cap_rest_eyeclosed.vhdr
Pilot006,Pilot006/EEG,CAP,Pilot_06_Cap_rest_eyeopen.vhdr
Pilot006,Pilot006/EEG,CAP,Pilot_06_Cap_rest_stand.vhdr
Pilot006,Pilot006/EEG,NOVEL,Pilot_06_Novel_rest_eyeclosed.vhdr
Pilot006,Pilot006/EEG,NOVEL,Pilot_06_Novel_rest_eyeopen.vhdr
Pilot006,Pilot006/EEG,NOVEL,Pilot_06_Novel_rest_stand.vhdr
Pilot007,Pilot007/EEG,CAP,Pilot_07_cap_rest_eyeclosed.vhdr
Pilot007,Pilot007/EEG,CAP,Pilot_07_cap_rest_eyeopen.vhdr
Pilot007,Pilot007/EEG,CAP,Pilot_07_cap_rest_stand.vhdr
Pilot007,Pilot007/EEG,NOVEL,Pilot_07_novel_rest_eyeclosed.vhdr
Pilot007,Pilot007/EEG,NOVEL,Pilot_07_novel_rest_eyeopen.vhdr
Pilot007,Pilot007/EEG,NOVEL,Pilot_07_novel_rest_stand.vhdr
Pilot009,Pilot009/EEG,CAP,Pilot_009_cap_rest_eyeclosed.vhdr
Pilot009,Pilot009/EEG,CAP,Pilot_009_cap_rest_eyeopen.vhdr
Pilot009,Pilot009/EEG,CAP,Pilot_009_cap_rest_stand.vhdr
Pilot009,Pilot009/EEG,NOVEL,Pilot_009_novel_rest_closed.vhdr
Pilot009,Pilot009/EEG,NOVEL,Pilot_009_novel_rest_eyeopen.vhdr
Pilot009,Pilot009/EEG,NOVEL,Pilot_009_novel_rest_stand.vhdr
Pilot010,Pilot010/EEG,CAP,Cap_Rest_eyeclosed.vhdr
Pilot010,Pilot010/EEG,CAP,Cap_Rest_eyeopen.vhdr
Pilot010,Pilot010/EEG,CAP,Cap_Rest_stand.vhdr
Pilot010,Pilot010/EEG,NOVEL,Novel_Rest_eyeclosed.vhdr
Pilot010,Pilot010/EEG,NOVEL,Novel_rest_eyeopen.vhdr
Pilot010,Pilot010/EEG,NOVEL,Novel_Rest_stand.vhdr
Pilot011,Pilot011/EEG,CAP,Cap_Rest_eyeclosed.vhdr
Pilot011,Pilot011/EEG,CAP,Cap_Rest_eyeopen.vhdr
Pilot011,Pilot011/EEG,CAP,Cap_Rest_stand.vhdr
Pilot011,Pilot011/EEG,NOVEL,Novel_Rest_eyeclosed.vhdr
Pilot011,Pilot011/EEG,NOVEL,Novel_Rest_eyeopen.vhdr
Pilot011,Pilot011/EEG,NOVEL,Novel_Rest_stand.vhdr
Pilot012,Pilot012/EEG,CAP,Cap_Rest_eyeclosed.vhdr
Pilot012,Pilot012/EEG,CAP,Cap_Rest_eyeopen.vhdr
Pilot012,Pilot012/EEG,CAP,Cap_Rest_stand.vhdr
Pilot012,Pilot012/EEG,NOVEL,Novel_rest_eyeclosed.vhdr
Pilot012,Pilot012/EEG,NOVEL,Novel_Rest_eyeopen.vhdr
Pilot012,Pilot012/EEG,NOVEL,Novel_rest_stand.vhdr
Pilot013,Pilot013/EEG,CAP,Cap_Rest_eyesclosed.vhdr
Pilot013,Pilot013/EEG,CAP,Cap_Rest_eyeopen.vhdr
Pilot013,Pilot013/EEG,CAP,Cap_Rest_stand.vhdr
Pilot013,Pilot013/EEG,NOVEL,Novel_Rest_eyeclosed.vhdr
Pilot013,Pilot013/EEG,NOVEL,Novel_Rest_eyeopen.vhdr
