pilotID,eeg_folder,montage,vhdr
Pilot001,Pilot001/EEG,CAP,cap_walk_1.vhdr
Pilot001,Pilot001/EEG,CAP,cap_walk_2.vhdr
Pilot001,Pilot001/EEG,NOVEL,novel_walk_1.vhdr
Pilot001,Pilot001/EEG,NOVEL,pilot_09_novel_walk_2.vhdr
Pilot002,Pilot002/EEG,CAP,14_walk_usual_1.vhdr
Pilot002,Pilot002/EEG,CAP,14_walk_usual_2.vhdr
Pilot002,Pilot002/EEG,NOVEL,14_Novel_usual_1.vhdr
Pilot002,Pilot002/EEG,NOVEL,14_Novel_usual_2.vhdr
Pilot003,Pilot003/EEG,CAP,Pilot_13_Cap_Usual_walk1.vhdr
Pilot003,Pilot003/EEG,CAP,Pilot_13_Cap_Usual_walk2.vhdr
Pilot003,Pilot003/EEG,NOVEL,Pilot_13_novel_Usual_walk1.vhdr
Pilot003,Pilot003/EEG,NOVEL,Pilot_13_novel_Usual_walk2.vhdr
Pilot004,Pilot004 (where comfort level starts)/EEG,CAP,pilot_04_cap_walk1.vhdr
Pilot004,Pilot004 (where comfort level starts)/EEG,CAP,pilot_04_cap_walk2.vhdr
Pilot004,Pilot004 (where comfort level starts)/EEG,NOVEL,pilot_04_novel_walk1.vhdr
Pilot004,Pilot004 (where comfort level starts)/EEG,NOVEL,pilot_04_novel_walk2.vhdr
Pilot005,Pilot005/EEG,CAP,Pilot_05_Cap_Walk_1.vhdr
Pilot005,Pilot005/EEG,CAP,Pilot_05_Cap_Walk_2.vhdr
Pilot005,Pilot005/EEG,NOVEL,Pilot_05_Novel_Walk1.vhdr
Pilot005,Pilot005/EEG,NOVEL,Pilot_05_Novel_Walk2.vhdr
Pilot006,Pilot006/EEG,CAP,Pilot_06_Cap_walk1.vhdr
Pilot006,Pilot006/EEG,CAP,Pilot_06_Cap_walk2.vhdr
Pilot006,Pilot006/EEG,NOVEL,Pilot_06_Novel_walk1.vhdr
Pilot006,Pilot006/EEG,NOVEL,Pilot_06_Novel_walk2.vhdr
Pilot007,Pilot007/EEG,CAP,Pilot_07_cap_walk1.vhdr
Pilot007,Pilot007/EEG,CAP,Pilot_07_cap_walk2.vhdr
Pilot007,Pilot007/EEG,NOVEL,Pilot_07_novel_walk1.vhdr
Pilot007,Pilot007/EEG,NOVEL,Pilot_07_novel_walk2.vhdr
Pilot008,Pilot008/EEG,CAP,pilot_08_cap_walk1.vhdr
Pilot008,Pilot008/EEG,CAP,pilot_08_cap_walk2.vhdr
Pilot008,Pilot008/EEG,NOVEL,pilot_09_novel_walk1.vhdr
Pilot008,Pilot008/EEG,NOVEL,pilot_09_novel_walk2.vhdr
Pilot009,Pilot009/EEG,CAP,Pilot_009_cap_walk1.vhdr
Pilot009,Pilot009/EEG,CAP,Pilot_009_cap_walk2.vhdr
Pilot009,Pilot009/EEG,NOVEL,Pilot_009_novel_walk1.vhdr
Pilot009,Pilot009/EEG,NOVEL,Pilot_009_novel_walk2.vhdr
